date	retweet	url	text
Fri Dec 02 15:28:06 +0000 2022	True	https://twitter.com/ZachReitzPhD/status/1598700544885166080	"RT @ZachReitzPhD: Check out @ButlerLabUCSB's ""In a Nutshell"" article, just published in @FEBS_Letters!   In 2016, we dreamed up three hypot…"
Fri Nov 11 12:11:43 +0000 2022	False	https://pubs.acs.org/doi/10.1021/acschembio.2c00593	C-Diazeniumdiolate Graminine in the Siderophore Gramibactin Is Photoreactive and Originates from Arginine https://t.co/4p1aAvQ3ng
Thu Nov 03 15:03:00 +0000 2022	False	https://link.springer.com/chapter/10.1007/978-3-031-07559-9_14	Siderophores and Their Applications in Sustainable Management of Plant Diseases https://t.co/uZGWsJUcU2
Thu Nov 03 07:43:16 +0000 2022	False	https://www.sciencedirect.com/science/article/pii/S2405580822001765	Siderophore iucA of hypermucoviscous Klebsiella pneumoniae promotes liver damage in mice by inducing oxidative stress https://t.co/8fTuhM4mYC
Tue Nov 01 08:17:00 +0000 2022	True	https://twitter.com/RolfsMicrobes/status/1583127531150282753	Rapid identification of pyoverdines of fluorescent Pseudomonas spp. by UHPLC-IM-MS https://t.co/A4KtWZzFgi
Mon Oct 31 08:13:00 +0000 2022	True	https://twitter.com/shinichi246/status/1585617486795272192	Ferrichrome, a fungal-type siderophore, confers high ammonium tolerance to fission yeast https://t.co/njj1q7VgzW
Sun Oct 30 08:00:00 +0000 2022	True	https://twitter.com/MichaelGlickma1/status/1582100976768798720	Diisonitrile Lipopeptides Mediate Resistance to Copper Starvation in Pathogenic Mycobacteria https://t.co/vYvk8kZZHC
Sat Oct 29 06:54:48 +0000 2022	True	https://twitter.com/GroveLabLSU/status/1586250181066072064	RT @GroveLabLSU: The latest from the Grove-lab: The Global Regulator MftR Controls Virulence and Siderophore Production in Burkholderia tha…
Sat Oct 29 06:38:58 +0000 2022	True	https://twitter.com/Dr_Lori_Burrows/status/1586246195982344193	RT @Dr_Lori_Burrows: Delighted to share a cool new story from PhD candidate @DerekCKChan1 about the unexpected superpowers of the (so-calle…
Sat Oct 29 06:21:05 +0000 2022	True	https://twitter.com/DuhmeKlairYork/status/1586241696160894976	RT @DuhmeKlairYork: We are excited for this work to be finally published in @InorgChem! Congrats to Nat (@heyitsnatx) on her first first-au…
Tue Sep 13 20:51:19 +0000 2022	False	https://doi.org/10.3389/fmicb.2022.951173	A putative siderophore receptor of Gallibacterium anatis 12656-12 under Fur control also binds hemoglobin https://t.co/glbXDvSEnR
Mon Sep 12 00:32:47 +0000 2022	False	https://www.mdpi.com/1422-0067/23/16/8865/htm	Identification of Key Functions Required for Production and Utilization of the Siderophore Piscibactin Encoded by the High-Pathogenicity Island irp-HPI in Vibrionaceae https://t.co/rdqcPByaZr
Sun Sep 11 23:57:23 +0000 2022	False	https://doi.org/10.3390/pathogens11090953	Mycobacterium abscessus Mutants with a Compromised Functional Link between the Type VII ESX-3 System and an Iron Uptake Mechanism Reliant on an Unusual Mycobactin Siderophore https://t.co/PESWTTcpmR
Fri Sep 09 00:33:18 +0000 2022	False	https://pubs.acs.org/doi/abs/10.1021/acs.est.2c02047	Effect of Siderophore DFOB on U(VI) Adsorption to Clay Mineral and Its Subsequent Reduction by an Iron-Reducing Bacterium https://t.co/G4hczKZxNn
Thu Sep 08 23:57:36 +0000 2022	False	https://doi.org/10.1590/1678-4162-12491	Detection of Fur, AmoA and pvcAB genes in Aeromonas hydrophila isolated from aquatic organisms and impact on bacterial growth under different iron concentrations https://t.co/MTwPCozPDa
Thu Sep 08 00:32:52 +0000 2022	False	https://www.nature.com/articles/s41574-022-00721-3	The role of iron in host–microbiota crosstalk and its effects on systemic glucose metabolism https://t.co/uhJjnhHKQh
Wed Sep 07 23:57:31 +0000 2022	False	https://journals.asm.org/doi/full/10.1128/spectrum.01093-22	Proteomic Investigation of the Antibacterial Mechanism of Cefiderocol against Escherichia coli https://t.co/eXdUkTHZQJ
Wed Sep 07 00:33:05 +0000 2022	False	https://pubs.acs.org/doi/abs/10.1021/acs.est.2c04104	Cr(VI) Reduction by Siderophore Alone and in Combination with Reduced Clay Minerals https://t.co/Bf8bXS6SPt
Tue Sep 06 23:57:28 +0000 2022	False	https://www.mdpi.com/2079-6382/11/8/1105	Chelation in Antibacterial Drugs: From Nitroxoline to Cefiderocol and Beyond https://t.co/bQsWcMAzSn
Tue Sep 06 00:33:24 +0000 2022	False	https://link.springer.com/article/10.1007/s00726-022-03196-8	Divergent synthesis of biologically active l-threo-β-hydroxyaspartates from common trans-oxazolidine dicarboxylate https://t.co/TsZBDcFoCn
Mon Sep 05 23:57:42 +0000 2022	False	https://journals.asm.org/doi/abs/10.1128/aem.00948-22	Siderophores Produced by the Fish Pathogen Flavobacterium columnare Strain MS-FC-4 Are Not Essential for Its Virulence https://t.co/U1Ck77lP5r
Mon Sep 05 00:33:08 +0000 2022	False	https://journals.asm.org/doi/10.1128/mbio.00912-22	Posttranscriptional Regulation by Copper with a New Upstream Open Reading Frame https://t.co/XALSCjR8DW
Sun Sep 04 23:57:30 +0000 2022	False	https://www.mdpi.com/1424-8247/15/8/992	Synthesis and Assessment of the In Vitro and Ex Vivo Activity of Salicylate Synthase (Mbti) Inhibitors as New Candidates for the Treatment of Mycobacterial Infections https://t.co/pBdYcFRKEt
Sat Sep 03 09:12:56 +0000 2022	False	https://journals.asm.org/doi/10.1128/mbio.01789-22	N-Succinyltransferase Encoded by a Cryptic Siderophore Biosynthesis Gene Cluster in Streptomyces Modifies Structurally Distinct Antibiotics https://t.co/jO7Nbt5vLD
Fri Sep 02 00:33:00 +0000 2022	False	https://link.springer.com/article/10.1007/s00248-022-02095-5	Pathogenesis in Pseudomonas aeruginosa PAO1 Biofilm-Associated Is Dependent on the Pyoverdine and Pyocyanin Siderophores by Quorum Sensing Modulation https://t.co/dGRunLkV02
Thu Sep 01 23:57:23 +0000 2022	False	https://pubs.acs.org/doi/abs/10.1021/acschembio.2c00422	A Metabolite Produced by Gut Microbes Represses Phage Infections in Vibrio cholerae https://t.co/VyACFCLUyw
Thu Sep 01 00:32:36 +0000 2022	False	https://onlinelibrary.wiley.com/doi/full/10.1111/gbi.12515	On the trail of iron uptake in ancestral Cyanobacteria on early Earth https://t.co/sppQFxVjT2
Wed Aug 31 23:57:10 +0000 2022	False	https://pubs.acs.org/doi/abs/10.1021/acsinfecdis.2c00202	Hijacking of the Enterobactin Pathway by a Synthetic Catechol Vector Designed for Oxazolidinone Antibiotic Delivery in Pseudomonas aeruginosa https://t.co/NIhuoZ4Lqv
Wed Aug 31 00:32:49 +0000 2022	False	https://www.sciencedirect.com/science/article/abs/pii/S0924857922001625	Catecholate siderophore receptor CirA impacts cefiderocol susceptibility in Klebsiella pneumoniae https://t.co/9Jw6ChG2b3
Tue Aug 30 23:57:24 +0000 2022	False	https://doi.org/10.1111/mmi.14970	FoxR is an AraC-like transcriptional regulator of ferrioxamine uptake in Salmonella enterica https://t.co/MrcACwGFDN
Tue Aug 30 10:19:23 +0000 2022	False	https://www.sciencedirect.com/science/article/abs/pii/S030090842200195X	Evidence of an intracellular interaction between the Escherichia coli enzymes EntC and EntB and identification of a potential electrostatic channeling surface https://t.co/XKWAhZ3FFO
Mon Aug 29 23:57:31 +0000 2022	False	https://academic.oup.com/femsle/article-abstract/369/1/fnac071/6650350	Zinc-binding metallophores protect Pseudomonas aeruginosa from calprotectin-mediated metal starvation  https://t.co/7QlHmgAKGJ
Mon Aug 29 10:34:59 +0000 2022	False	https://doi.org/10.1097/QCO.0000000000000862	Siderophores: a potential role as a diagnostic for invasive fungal disease https://t.co/tgm4xtURvW
Sun Aug 28 23:57:30 +0000 2022	False	https://www.mdpi.com/2309-608X/7/7/497	Freeing Aspergillus fumigatus of Polymycovirus Infection Renders It More Resistant to Competition with Pseudomonas aeruginosa Due to Altered Iron-Acquiring Tactics https://t.co/Qyr7GYuzM6
Sat Aug 27 08:33:44 +0000 2022	True	https://twitter.com/ThomasWichard/status/1560566923766775808	Hydroxypyridinones in nitrogen-fixing bacterial cultures: a metal buffer for molybdenum and simulation of natural conditions https://t.co/No6TWIF8jB
Sat Aug 27 08:24:16 +0000 2022	False	https://www.sciencedirect.com/science/article/pii/S092325082200050X	Effect of the combinatorial iron-chelation and oxidative stress on the growth of Aspergillus species https://t.co/V2Xv2YW9yc
Mon Aug 01 12:54:48 +0000 2022	True	https://twitter.com/ZachReitzPhD/status/1554088257922732032	RT @ZachReitzPhD: Check out my new perspective on metallophore genome mining, just published in Current Opinion in Biotechnology! We highli…
Fri Jul 29 08:40:44 +0000 2022	True	https://twitter.com/ZachReitzPhD/status/1552937155516825602	RT @ZachReitzPhD: Has no one fully characterized coelibactin, the zincophore from #Streptomyces coelicolor? The accepted structure seems to…
Fri Jul 29 06:45:00 +0000 2022	False	https://apsjournals.apsnet.org/doi/full/10.1094/MPMI-01-22-0025-A	Complete Genome Sequence of Vibrio maritimus BH16, a Siderophore-Producing Mutualistic Bacterium Isolated from Diatom Skeletonema costatum  https://t.co/7K43w6csq5
Wed Feb 09 16:09:00 +0000 2022	False	https://link.springer.com/article/10.1007/s00216-022-03907-w	A comprehensive method to elucidate pyoverdines produced by fluorescent Pseudomonas spp. by UHPLC-HR-MS/MS  https://t.co/JCCmTeJqNQ
Tue Feb 08 15:48:31 +0000 2022	False	https://dx.doi.org/10.17504/protocols.io.b27xqhpn	Modelling competition between the siderophore ferrioxamine B and humic like binding sites in seawater [protocol]  https://t.co/lWnBw3z6Ze
Tue Feb 08 15:47:41 +0000 2022	False	https://www.sciencedirect.com/science/article/pii/S0162013422000320	Selective detection of Aeromonas spp. by a fluorescent probe based on the siderophore amonabactin  https://t.co/j1QlzU8uRF
Tue Feb 08 15:30:21 +0000 2022	False	https://journals.asm.org/doi/10.1128/mbio.02900-21	Rhizobiales-Specific RirA Represses a Naturally “Synthetic” Foreign Siderophore Gene Cluster To Maintain Sinorhizobium-Legume Mutualism  https://t.co/hoHYRUxRWZ
Thu Feb 03 15:28:51 +0000 2022	True	https://twitter.com/BergeijkDoris/status/1489258313954983948	The ubiquitous catechol moiety elicits siderophore and angucycline production in Streptomyces https://t.co/JKvQylpeud
Thu Feb 03 14:55:34 +0000 2022	False	https://journals.asm.org/doi/10.1128/aem.02405-21	Negatively regulated aerobactin and desferrioxamine E by Fur in Pantoea ananatis are required for full siderophore production and antibacterial activity, but not for virulence  https://t.co/YzaNrD1HFN
